series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
48858,180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,TV,12,0,1,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
36793,3D Kanojo: Real Girl,TV,12,0,1,2021-07-10,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
39790,Adachi to Shimamura,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
49520,Aharen-san wa Hakarenai,TV,0,0,0,0000-00-00,0000-00-00,,9,,0.00,Watching,,0,,LOW,,0,0,1,default,0
11111,Another,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37171,Asobi Asobase,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38328,Azur Lane,TV,12,0,12,2021-06-23,2021-06-24,,3,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34636,Ballroom e Youkoso,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
33573,BanG Dream!,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
36516,Beatless,TV,20,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40752,Bishounen Tanteidan,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34618,Blend S,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40060,BNA,TV,12,0,12,0000-00-00,2021-04-14,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31043,Boku dake ga Inai Machi,TV,12,0,12,0000-00-00,2021-04-14,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31964,Boku no Hero Academia,TV,13,0,13,0000-00-00,2021-04-14,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33486,Boku no Hero Academia 2nd Season,TV,25,0,25,0000-00-00,2021-04-14,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36456,Boku no Hero Academia 3rd Season,TV,25,0,25,0000-00-00,2021-04-14,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38408,Boku no Hero Academia 4th Season,TV,25,0,25,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40904,Bokutachi no Remake,TV,12,0,5,0000-00-00,0000-00-00,,10,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
51371,Bucchigire!,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
31478,Bungou Stray Dogs,TV,12,0,12,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40960,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39175,Cider no You ni Kotoba ga Wakiagaru,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34382,Citrus,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
31636,Dagashi Kashi,TV,12,0,12,2021-06-25,2021-07-02,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36049,Dagashi Kashi 2,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
35849,Darling in the FranXX,TV,24,0,24,0000-00-00,2021-04-14,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
15583,Date A Live,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
14353,Death Billiards,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
1535,Death Note,TV,37,0,37,0000-00-00,2021-04-14,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28223,Death Parade,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37982,Domestic na Kanojo,TV,12,0,12,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37520,Dororo,TV,24,0,24,0000-00-00,2021-04-14,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38671,Enen no Shouboutai,TV,24,0,24,0000-00-00,2021-04-14,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22043,Fairy Tail (2014),TV,102,0,0,2021-04-14,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
22297,Fate/stay night: Unlimited Blade Works,TV,12,0,12,0000-00-00,2021-04-14,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,0,13,0000-00-00,2021-04-14,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31376,Flying Witch,TV,12,0,12,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
5114,Fullmetal Alchemist: Brotherhood,TV,64,0,64,0000-00-00,2021-04-14,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41025,Fumetsu no Anata e,TV,20,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
49605,Ganbare Douki-chan,ONA,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,12,0,12,2021-06-05,2021-06-06,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",TV,12,0,12,2021-06-06,2021-06-07,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41710,Genjitsu Shugi Yuusha no Oukoku Saikenki,TV,13,0,13,2021-07-05,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49930,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,TV,13,0,13,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
24855,Girlfriend (Kari),TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37349,Goblin Slayer,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40938,Hige wo Soru. Soshite Joshikousei wo Hirou.,TV,13,0,2,2021-04-14,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
42897,Horimiya,TV,13,0,13,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35557,Houseki no Kuni (TV),TV,12,0,12,0000-00-00,2021-04-14,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
12189,Hyouka,TV,22,0,13,0000-00-00,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
40046,Id:Invaded,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42361,"Ijiranaide, Nagatoro-san",TV,12,0,12,2021-06-08,2021-07-04,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37497,Irozuku Sekai no Ashita kara,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34012,Isekai Shokudou,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
49438,Isekai Yakkyoku,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
36220,Itsudatte Bokura no Koi wa 10 cm Datta.,TV,6,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
45604,Jaku-Chara Tomozaki-kun Specials,Special,2,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
29785,Jitsu wa Watashi wa,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
14719,JoJo no Kimyou na Bouken (TV),TV,26,0,26,0000-00-00,2021-04-14,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,24,0,24,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,24,0,24,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,0,39,0000-00-00,2021-04-14,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,0,39,0000-00-00,2021-04-14,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40748,Jujutsu Kaisen (TV),TV,24,0,24,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,0,12,0000-00-00,2021-04-14,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,0,12,0000-00-00,2021-04-14,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42544,Kaizoku Oujo,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39198,Kanata no Astra,TV,12,0,12,0000-00-00,2021-04-14,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49721,Karakai Jouzu no Takagi-san 3,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
7711,Karigurashi no Arrietty,Movie,1,0,1,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
45613,Kawaii dake ja Nai Shikimori-san,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
32686,Keijo!!!!!!!!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
33089,Kemono Friends,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
35313,Kemono Friends 2,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
35347,Kemono Friends: Bus-teki,ONA,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40908,Kemono Jihen,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38000,Kimetsu no Yaiba,TV,26,0,26,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,0,1,0000-00-00,2021-07-02,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
47778,Kimetsu no Yaiba: Yuukaku-hen,TV,11,0,11,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32281,Kimi no Na wa.,Movie,1,0,1,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33206,Kobayashi-san Chi no Maid Dragon,TV,13,0,13,2021-06-13,2021-06-15,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39247,Kobayashi-san Chi no Maid Dragon S,TV,12,0,12,2021-07-20,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49893,Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon Desu,Special,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
28851,Koe no Katachi,Movie,1,0,1,2021-04-14,2021-04-14,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41103,Koi to Yobu ni wa Kimochi Warui,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34984,Koi wa Ameagari no You ni,TV,12,0,12,2021-07-02,2021-07-07,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
48926,"Komi-san wa, Comyushou desu.",TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50631,"Komi-san wa, Comyushou desu. 2nd Season",TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
16782,Kotonoha no Niwa,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34712,Kujira no Kora wa Sajou ni Utau,TV,12,0,12,2021-06-11,2021-06-13,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
